epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,117.33,0.54073,0.76687,1,0.56289,0.0671146,0.000332176,0.000332176
2,236.498,0.41233,0.90389,1,0.29075,0.0340926,0.000643547,0.000643547
3,2643.16,0.32608,0.92025,1,0.22125,0.00104866,0.000932919,0.000932919
4,3073.14,0.31731,0.89775,1,0.29984,0.000901,0.000901,0.000901
5,3200.24,0.28794,0.85481,1,0.35746,0.000868,0.000868,0.000868
6,3482.61,0.26081,0.88753,1,0.29856,0.000835,0.000835,0.000835
7,3625.69,0.23434,0.90184,1,0.32322,0.000802,0.000802,0.000802
8,3836.53,0.21106,0.8998,1,0.31807,0.000769,0.000769,0.000769
9,4081.87,0.20482,0.90798,1,0.32857,0.000736,0.000736,0.000736
10,4520.44,0.17673,0.8998,1,0.37151,0.000703,0.000703,0.000703
11,6446,0.17327,0.90593,1,0.33015,0.00067,0.00067,0.00067
12,6569.25,0.16099,0.89366,1,0.34943,0.000637,0.000637,0.000637
13,10035.8,0.17328,0.89162,1,0.42369,0.000604,0.000604,0.000604
